state,year,CON_6m,enacted_first,repealed,reinstated_CON_ind,enacted_second,note
ohio,1980,1,1975-08-25T00:00:00Z,2025-07-17T00:00:00Z,N,NA,"Amendments added in March 15, 1979 and only regulates long-term care now"
oklahoma,1980,1,1971-04-08T00:00:00Z,2025-07-17T00:00:00Z,N,NA,"Repealed CON for Psychiatric and Chemical Dependency Facilities passed in 1989 on May 6, 2024"
oregon,1980,1,1971-07-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
pennsylvania,1980,1,1979-10-01T00:00:00Z,1996-12-31T00:00:00Z,N,NA,"Original expiration date was December 31, 1992 but legislature extended law by 4-years"
rhode island,1980,1,1969-01-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
south carolina,1980,1,1971-06-03T00:00:00Z,2025-07-17T00:00:00Z,N,NA,"CON laws subject to review January, 2027"
south dakota,1980,1,1972-02-09T00:00:00Z,1988-01-01T00:00:00Z,N,NA,NA
tennessee,1980,1,1973-07-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
texas,1980,1,1971-05-26T00:00:00Z,1985-01-01T00:00:00Z,N,NA,NA
utah,1980,1,1979-05-08T00:00:00Z,1984-12-31T00:00:00Z,N,NA,NA
vermont,1980,1,1979-05-08T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
virginia,1980,1,1973-03-09T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
washington,1980,1,1979-05-11T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
west virginia,1980,1,1977-07-08T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
wisconsin,1980,1,1977-01-01T00:00:00Z,1987-08-06T00:00:00Z,Y,1992-05-12T00:00:00Z,"Reenacted approval process, “quasi-CON”"
wyoming,1980,1,1977-05-27T00:00:00Z,2025-07-17T00:00:00Z,N,NA,"Repealed CON in March 13, 1987, except for nursing homes"
alabama,1981,1,1979-07-30T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
alaska,1981,1,1976-07-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
arizona,1981,1,1975-06-12T00:00:00Z,1985-03-15T00:00:00Z,N,NA,Certificate of Necessity for ambulances passed in 1993
arkansas,1981,1,1975-03-25T00:00:00Z,1987-01-01T00:00:00Z,Y,1987-01-01T00:00:00Z,"Reinstated Permit of Approval program, more relaxed CON law"
california,1981,1,1976-09-09T00:00:00Z,1987-01-01T00:00:00Z,N,NA,NA
colorado,1981,1,1973-05-30T00:00:00Z,1987-07-01T00:00:00Z,N,NA,NA
connecticut,1981,1,1973-07-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,"CON for Long Term Care Facilities became effective July 1, 1993"
delaware,1981,1,1978-06-30T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
florida,1981,1,1973-07-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
georgia,1981,1,1979-07-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
hawaii,1981,1,1975-07-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
idaho,1981,1,1980-03-20T00:00:00Z,1983-07-01T00:00:00Z,N,NA,CON expired in 1983 but repealed in 2004
illinois,1981,1,1974-07-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,"CON laws subject to review December 31st, 2029"
indiana,1981,1,1980-01-01T00:00:00Z,1999-01-01T00:00:00Z,Y,2019-01-01T00:00:00Z,No CON laws in 1996; 2018 CON law only applies to nursing homes
iowa,1981,1,1978-07-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
kansas,1981,1,1972-03-21T00:00:00Z,1985-04-23T00:00:00Z,N,NA,NA
kentucky,1981,1,1972-07-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
louisiana,1981,0,1990-07-06T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
maine,1981,1,1978-03-30T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
maryland,1981,1,1968-01-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
massachusetts,1981,1,1972-06-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
michigan,1981,1,1972-08-08T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
minnesota,1981,1,1971-07-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,"Hospital moratorium from 1984 to June 30, 1987; 2004 public review"
mississippi,1981,1,1979-07-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
missouri,1981,1,1980-10-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
montana,1981,1,1975-04-16T00:00:00Z,2025-07-17T00:00:00Z,N,NA,"Repealed CON in 2019, generally, except for long-term care facilities"
nebraska,1981,1,1979-05-22T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
nevada,1981,1,1972-07-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
new hampshire,1981,1,1979-07-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,"Repealed CON June 30, 2016 and immediately implemented quasi-CON July 1, 2016"
new jersey,1981,1,1971-05-10T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
new mexico,1981,0,1978-03-06T00:00:00Z,1981-01-01T00:00:00Z,N,NA,"Repealed CON, except for ambulance services"
new york,1981,1,1964-10-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
north carolina,1981,1,1971-07-21T00:00:00Z,1973-03-28T00:00:00Z,Y,1979-01-01T00:00:00Z,NA
north dakota,1981,1,1971-03-27T00:00:00Z,1995-01-01T00:00:00Z,N,NA,NA
ohio,1981,1,1975-08-25T00:00:00Z,2025-07-17T00:00:00Z,N,NA,"Amendments added in March 15, 1979 and only regulates long-term care now"
oklahoma,1981,1,1971-04-08T00:00:00Z,2025-07-17T00:00:00Z,N,NA,"Repealed CON for Psychiatric and Chemical Dependency Facilities passed in 1989 on May 6, 2024"
oregon,1981,1,1971-07-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
pennsylvania,1981,1,1979-10-01T00:00:00Z,1996-12-31T00:00:00Z,N,NA,"Original expiration date was December 31, 1992 but legislature extended law by 4-years"
rhode island,1981,1,1969-01-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
south carolina,1981,1,1971-06-03T00:00:00Z,2025-07-17T00:00:00Z,N,NA,"CON laws subject to review January, 2027"
south dakota,1981,1,1972-02-09T00:00:00Z,1988-01-01T00:00:00Z,N,NA,NA
tennessee,1981,1,1973-07-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
texas,1981,1,1971-05-26T00:00:00Z,1985-01-01T00:00:00Z,N,NA,NA
utah,1981,1,1979-05-08T00:00:00Z,1984-12-31T00:00:00Z,N,NA,NA
vermont,1981,1,1979-05-08T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
virginia,1981,1,1973-03-09T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
washington,1981,1,1979-05-11T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
west virginia,1981,1,1977-07-08T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
wisconsin,1981,1,1977-01-01T00:00:00Z,1987-08-06T00:00:00Z,Y,1992-05-12T00:00:00Z,"Reenacted approval process, “quasi-CON”"
wyoming,1981,1,1977-05-27T00:00:00Z,2025-07-17T00:00:00Z,N,NA,"Repealed CON in March 13, 1987, except for nursing homes"
alabama,1982,1,1979-07-30T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
alaska,1982,1,1976-07-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
arizona,1982,1,1975-06-12T00:00:00Z,1985-03-15T00:00:00Z,N,NA,Certificate of Necessity for ambulances passed in 1993
arkansas,1982,1,1975-03-25T00:00:00Z,1987-01-01T00:00:00Z,Y,1987-01-01T00:00:00Z,"Reinstated Permit of Approval program, more relaxed CON law"
california,1982,1,1976-09-09T00:00:00Z,1987-01-01T00:00:00Z,N,NA,NA
colorado,1982,1,1973-05-30T00:00:00Z,1987-07-01T00:00:00Z,N,NA,NA
connecticut,1982,1,1973-07-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,"CON for Long Term Care Facilities became effective July 1, 1993"
delaware,1982,1,1978-06-30T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
florida,1982,1,1973-07-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
georgia,1982,1,1979-07-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
hawaii,1982,1,1975-07-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
idaho,1982,1,1980-03-20T00:00:00Z,1983-07-01T00:00:00Z,N,NA,CON expired in 1983 but repealed in 2004
illinois,1982,1,1974-07-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,"CON laws subject to review December 31st, 2029"
indiana,1982,1,1980-01-01T00:00:00Z,1999-01-01T00:00:00Z,Y,2019-01-01T00:00:00Z,No CON laws in 1996; 2018 CON law only applies to nursing homes
iowa,1982,1,1978-07-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
kansas,1982,1,1972-03-21T00:00:00Z,1985-04-23T00:00:00Z,N,NA,NA
kentucky,1982,1,1972-07-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
louisiana,1982,0,1990-07-06T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
maine,1982,1,1978-03-30T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
maryland,1982,1,1968-01-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
massachusetts,1982,1,1972-06-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
michigan,1982,1,1972-08-08T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
minnesota,1982,1,1971-07-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,"Hospital moratorium from 1984 to June 30, 1987; 2004 public review"
mississippi,1982,1,1979-07-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
missouri,1982,1,1980-10-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
montana,1982,1,1975-04-16T00:00:00Z,2025-07-17T00:00:00Z,N,NA,"Repealed CON in 2019, generally, except for long-term care facilities"
nebraska,1982,1,1979-05-22T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
nevada,1982,1,1972-07-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
new hampshire,1982,1,1979-07-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,"Repealed CON June 30, 2016 and immediately implemented quasi-CON July 1, 2016"
new jersey,1982,1,1971-05-10T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
new mexico,1982,0,1978-03-06T00:00:00Z,1981-01-01T00:00:00Z,N,NA,"Repealed CON, except for ambulance services"
new york,1982,1,1964-10-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
north carolina,1982,1,1971-07-21T00:00:00Z,1973-03-28T00:00:00Z,Y,1979-01-01T00:00:00Z,NA
north dakota,1982,1,1971-03-27T00:00:00Z,1995-01-01T00:00:00Z,N,NA,NA
ohio,1982,1,1975-08-25T00:00:00Z,2025-07-17T00:00:00Z,N,NA,"Amendments added in March 15, 1979 and only regulates long-term care now"
oklahoma,1982,1,1971-04-08T00:00:00Z,2025-07-17T00:00:00Z,N,NA,"Repealed CON for Psychiatric and Chemical Dependency Facilities passed in 1989 on May 6, 2024"
oregon,1982,1,1971-07-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
pennsylvania,1982,1,1979-10-01T00:00:00Z,1996-12-31T00:00:00Z,N,NA,"Original expiration date was December 31, 1992 but legislature extended law by 4-years"
rhode island,1982,1,1969-01-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
south carolina,1982,1,1971-06-03T00:00:00Z,2025-07-17T00:00:00Z,N,NA,"CON laws subject to review January, 2027"
south dakota,1982,1,1972-02-09T00:00:00Z,1988-01-01T00:00:00Z,N,NA,NA
tennessee,1982,1,1973-07-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
texas,1982,1,1971-05-26T00:00:00Z,1985-01-01T00:00:00Z,N,NA,NA
utah,1982,1,1979-05-08T00:00:00Z,1984-12-31T00:00:00Z,N,NA,NA
vermont,1982,1,1979-05-08T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
virginia,1982,1,1973-03-09T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
washington,1982,1,1979-05-11T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
west virginia,1982,1,1977-07-08T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
wisconsin,1982,1,1977-01-01T00:00:00Z,1987-08-06T00:00:00Z,Y,1992-05-12T00:00:00Z,"Reenacted approval process, “quasi-CON”"
wyoming,1982,1,1977-05-27T00:00:00Z,2025-07-17T00:00:00Z,N,NA,"Repealed CON in March 13, 1987, except for nursing homes"
alabama,1983,1,1979-07-30T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
alaska,1983,1,1976-07-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
arizona,1983,1,1975-06-12T00:00:00Z,1985-03-15T00:00:00Z,N,NA,Certificate of Necessity for ambulances passed in 1993
arkansas,1983,1,1975-03-25T00:00:00Z,1987-01-01T00:00:00Z,Y,1987-01-01T00:00:00Z,"Reinstated Permit of Approval program, more relaxed CON law"
california,1983,1,1976-09-09T00:00:00Z,1987-01-01T00:00:00Z,N,NA,NA
colorado,1983,1,1973-05-30T00:00:00Z,1987-07-01T00:00:00Z,N,NA,NA
connecticut,1983,1,1973-07-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,"CON for Long Term Care Facilities became effective July 1, 1993"
delaware,1983,1,1978-06-30T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
florida,1983,1,1973-07-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
georgia,1983,1,1979-07-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
hawaii,1983,1,1975-07-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
idaho,1983,0,1980-03-20T00:00:00Z,1983-07-01T00:00:00Z,N,NA,CON expired in 1983 but repealed in 2004
illinois,1983,1,1974-07-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,"CON laws subject to review December 31st, 2029"
indiana,1983,1,1980-01-01T00:00:00Z,1999-01-01T00:00:00Z,Y,2019-01-01T00:00:00Z,No CON laws in 1996; 2018 CON law only applies to nursing homes
iowa,1983,1,1978-07-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
kansas,1983,1,1972-03-21T00:00:00Z,1985-04-23T00:00:00Z,N,NA,NA
kentucky,1983,1,1972-07-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
louisiana,1983,0,1990-07-06T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
maine,1983,1,1978-03-30T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
maryland,1983,1,1968-01-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
massachusetts,1983,1,1972-06-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
michigan,1983,1,1972-08-08T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
minnesota,1983,1,1971-07-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,"Hospital moratorium from 1984 to June 30, 1987; 2004 public review"
mississippi,1983,1,1979-07-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
missouri,1983,1,1980-10-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
montana,1983,1,1975-04-16T00:00:00Z,2025-07-17T00:00:00Z,N,NA,"Repealed CON in 2019, generally, except for long-term care facilities"
nebraska,1983,1,1979-05-22T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
nevada,1983,1,1972-07-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
new hampshire,1983,1,1979-07-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,"Repealed CON June 30, 2016 and immediately implemented quasi-CON July 1, 2016"
new jersey,1983,1,1971-05-10T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
new mexico,1983,0,1978-03-06T00:00:00Z,1981-01-01T00:00:00Z,N,NA,"Repealed CON, except for ambulance services"
new york,1983,1,1964-10-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
north carolina,1983,1,1971-07-21T00:00:00Z,1973-03-28T00:00:00Z,Y,1979-01-01T00:00:00Z,NA
north dakota,1983,1,1971-03-27T00:00:00Z,1995-01-01T00:00:00Z,N,NA,NA
ohio,1983,1,1975-08-25T00:00:00Z,2025-07-17T00:00:00Z,N,NA,"Amendments added in March 15, 1979 and only regulates long-term care now"
oklahoma,1983,1,1971-04-08T00:00:00Z,2025-07-17T00:00:00Z,N,NA,"Repealed CON for Psychiatric and Chemical Dependency Facilities passed in 1989 on May 6, 2024"
oregon,1983,1,1971-07-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
pennsylvania,1983,1,1979-10-01T00:00:00Z,1996-12-31T00:00:00Z,N,NA,"Original expiration date was December 31, 1992 but legislature extended law by 4-years"
rhode island,1983,1,1969-01-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
south carolina,1983,1,1971-06-03T00:00:00Z,2025-07-17T00:00:00Z,N,NA,"CON laws subject to review January, 2027"
south dakota,1983,1,1972-02-09T00:00:00Z,1988-01-01T00:00:00Z,N,NA,NA
tennessee,1983,1,1973-07-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
texas,1983,1,1971-05-26T00:00:00Z,1985-01-01T00:00:00Z,N,NA,NA
utah,1983,1,1979-05-08T00:00:00Z,1984-12-31T00:00:00Z,N,NA,NA
vermont,1983,1,1979-05-08T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
virginia,1983,1,1973-03-09T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
washington,1983,1,1979-05-11T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
west virginia,1983,1,1977-07-08T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
wisconsin,1983,1,1977-01-01T00:00:00Z,1987-08-06T00:00:00Z,Y,1992-05-12T00:00:00Z,"Reenacted approval process, “quasi-CON”"
wyoming,1983,1,1977-05-27T00:00:00Z,2025-07-17T00:00:00Z,N,NA,"Repealed CON in March 13, 1987, except for nursing homes"
alabama,1984,1,1979-07-30T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
alaska,1984,1,1976-07-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
arizona,1984,1,1975-06-12T00:00:00Z,1985-03-15T00:00:00Z,N,NA,Certificate of Necessity for ambulances passed in 1993
arkansas,1984,1,1975-03-25T00:00:00Z,1987-01-01T00:00:00Z,Y,1987-01-01T00:00:00Z,"Reinstated Permit of Approval program, more relaxed CON law"
california,1984,1,1976-09-09T00:00:00Z,1987-01-01T00:00:00Z,N,NA,NA
colorado,1984,1,1973-05-30T00:00:00Z,1987-07-01T00:00:00Z,N,NA,NA
connecticut,1984,1,1973-07-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,"CON for Long Term Care Facilities became effective July 1, 1993"
delaware,1984,1,1978-06-30T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
florida,1984,1,1973-07-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
georgia,1984,1,1979-07-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
hawaii,1984,1,1975-07-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
idaho,1984,0,1980-03-20T00:00:00Z,1983-07-01T00:00:00Z,N,NA,CON expired in 1983 but repealed in 2004
illinois,1984,1,1974-07-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,"CON laws subject to review December 31st, 2029"
indiana,1984,1,1980-01-01T00:00:00Z,1999-01-01T00:00:00Z,Y,2019-01-01T00:00:00Z,No CON laws in 1996; 2018 CON law only applies to nursing homes
iowa,1984,1,1978-07-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
kansas,1984,1,1972-03-21T00:00:00Z,1985-04-23T00:00:00Z,N,NA,NA
kentucky,1984,1,1972-07-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
louisiana,1984,0,1990-07-06T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
maine,1984,1,1978-03-30T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
maryland,1984,1,1968-01-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
massachusetts,1984,1,1972-06-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
michigan,1984,1,1972-08-08T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
minnesota,1984,1,1971-07-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,"Hospital moratorium from 1984 to June 30, 1987; 2004 public review"
mississippi,1984,1,1979-07-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
missouri,1984,1,1980-10-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
montana,1984,1,1975-04-16T00:00:00Z,2025-07-17T00:00:00Z,N,NA,"Repealed CON in 2019, generally, except for long-term care facilities"
nebraska,1984,1,1979-05-22T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
nevada,1984,1,1972-07-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
new hampshire,1984,1,1979-07-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,"Repealed CON June 30, 2016 and immediately implemented quasi-CON July 1, 2016"
new jersey,1984,1,1971-05-10T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
new mexico,1984,0,1978-03-06T00:00:00Z,1981-01-01T00:00:00Z,N,NA,"Repealed CON, except for ambulance services"
new york,1984,1,1964-10-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
north carolina,1984,1,1971-07-21T00:00:00Z,1973-03-28T00:00:00Z,Y,1979-01-01T00:00:00Z,NA
north dakota,1984,1,1971-03-27T00:00:00Z,1995-01-01T00:00:00Z,N,NA,NA
ohio,1984,1,1975-08-25T00:00:00Z,2025-07-17T00:00:00Z,N,NA,"Amendments added in March 15, 1979 and only regulates long-term care now"
oklahoma,1984,1,1971-04-08T00:00:00Z,2025-07-17T00:00:00Z,N,NA,"Repealed CON for Psychiatric and Chemical Dependency Facilities passed in 1989 on May 6, 2024"
oregon,1984,1,1971-07-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
pennsylvania,1984,1,1979-10-01T00:00:00Z,1996-12-31T00:00:00Z,N,NA,"Original expiration date was December 31, 1992 but legislature extended law by 4-years"
rhode island,1984,1,1969-01-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
south carolina,1984,1,1971-06-03T00:00:00Z,2025-07-17T00:00:00Z,N,NA,"CON laws subject to review January, 2027"
south dakota,1984,1,1972-02-09T00:00:00Z,1988-01-01T00:00:00Z,N,NA,NA
tennessee,1984,1,1973-07-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
texas,1984,1,1971-05-26T00:00:00Z,1985-01-01T00:00:00Z,N,NA,NA
utah,1984,1,1979-05-08T00:00:00Z,1984-12-31T00:00:00Z,N,NA,NA
vermont,1984,1,1979-05-08T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
virginia,1984,1,1973-03-09T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
washington,1984,1,1979-05-11T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
west virginia,1984,1,1977-07-08T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
wisconsin,1984,1,1977-01-01T00:00:00Z,1987-08-06T00:00:00Z,Y,1992-05-12T00:00:00Z,"Reenacted approval process, “quasi-CON”"
wyoming,1984,1,1977-05-27T00:00:00Z,2025-07-17T00:00:00Z,N,NA,"Repealed CON in March 13, 1987, except for nursing homes"
alabama,1985,1,1979-07-30T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
alaska,1985,1,1976-07-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
arizona,1985,0,1975-06-12T00:00:00Z,1985-03-15T00:00:00Z,N,NA,Certificate of Necessity for ambulances passed in 1993
arkansas,1985,1,1975-03-25T00:00:00Z,1987-01-01T00:00:00Z,Y,1987-01-01T00:00:00Z,"Reinstated Permit of Approval program, more relaxed CON law"
california,1985,1,1976-09-09T00:00:00Z,1987-01-01T00:00:00Z,N,NA,NA
colorado,1985,1,1973-05-30T00:00:00Z,1987-07-01T00:00:00Z,N,NA,NA
connecticut,1985,1,1973-07-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,"CON for Long Term Care Facilities became effective July 1, 1993"
delaware,1985,1,1978-06-30T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
florida,1985,1,1973-07-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
georgia,1985,1,1979-07-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
hawaii,1985,1,1975-07-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
idaho,1985,0,1980-03-20T00:00:00Z,1983-07-01T00:00:00Z,N,NA,CON expired in 1983 but repealed in 2004
illinois,1985,1,1974-07-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,"CON laws subject to review December 31st, 2029"
indiana,1985,1,1980-01-01T00:00:00Z,1999-01-01T00:00:00Z,Y,2019-01-01T00:00:00Z,No CON laws in 1996; 2018 CON law only applies to nursing homes
iowa,1985,1,1978-07-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
kansas,1985,0,1972-03-21T00:00:00Z,1985-04-23T00:00:00Z,N,NA,NA
kentucky,1985,1,1972-07-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
louisiana,1985,0,1990-07-06T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
maine,1985,1,1978-03-30T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
maryland,1985,1,1968-01-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
massachusetts,1985,1,1972-06-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
michigan,1985,1,1972-08-08T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
minnesota,1985,1,1971-07-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,"Hospital moratorium from 1984 to June 30, 1987; 2004 public review"
mississippi,1985,1,1979-07-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
missouri,1985,1,1980-10-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
montana,1985,1,1975-04-16T00:00:00Z,2025-07-17T00:00:00Z,N,NA,"Repealed CON in 2019, generally, except for long-term care facilities"
nebraska,1985,1,1979-05-22T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
nevada,1985,1,1972-07-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
new hampshire,1985,1,1979-07-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,"Repealed CON June 30, 2016 and immediately implemented quasi-CON July 1, 2016"
new jersey,1985,1,1971-05-10T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
new mexico,1985,0,1978-03-06T00:00:00Z,1981-01-01T00:00:00Z,N,NA,"Repealed CON, except for ambulance services"
new york,1985,1,1964-10-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
north carolina,1985,1,1971-07-21T00:00:00Z,1973-03-28T00:00:00Z,Y,1979-01-01T00:00:00Z,NA
north dakota,1985,1,1971-03-27T00:00:00Z,1995-01-01T00:00:00Z,N,NA,NA
